Accession,TaxID,Name,Reason,NT,#code,initals,date
AB646744.1 ,817," Bacteroides fragilis plasmid pBFUK1 DNA, complete genome, strain:GAI92082. ",, NT_3.1,#plasmid  #Top Level Tax,,
AF251288.1 ,817," Bacteroides fragilis transposon NBU2 lincomycin resistance gene(linAn2), MefEn2 (mefEn2), integrase (intN2), PrmN2 (prmN2), and mobilization protein (mobN2) genes, complete cds; and unknown genes. ",Transposon, NT_3.1,#transposon,,
AF412330,817," Bacteroides fragilis clone 38-F transposon Tet element BTF-37, partial sequence",, NT_3.1,#Partial Sequence #Top Level Taz ,hk,1/14/17
AJ277413.1 ,817, Bacteroides fragilis insertion sequence IS1188.,Transposon, NT_3.1,#transposon,,
AY053505.1 ,817," Bacteroides fragilis mobilizable transposon cLV25 mobilizationprotein BmgA (bmgA), mobilization protein BmgB (bmgB), DNA primase, putative excisionase, and putative integrase genes, complete cds; and unknown genes. ",Transposon, NT_3.1,#transposon,,
AY515263.1 ,817," Bacteroides fragilis conjugative transposon CTn341, completesequence. ",Transposon, NT_3.1,#transposon,,
DQ859906.2 ,817," Bacteroides fragilis strain P35 plasmid pBFP35, complete sequence.",, NT_3.1,#plasmid,,
HE999703.1 ,817," Bacteroides ovatus insertion sequence IS4-like and partialinactivated ermF gene, strain MN11. ",insirtion sequence, NT_3.1,#unresolved_tax,,
JF795575,817," Bacteroides fragilis strain 24435 transposase and metallo-beta-lactamase (cfiA) genes, complete cds",, NT_3.1,#Insirtion sequence #Top level Tax ,hk,1/13/17
JF795577.1 ,817," Bacteroides fragilis strain 24546 transposase andmetallo-beta-lactamase (cfiA) genes, complete cds. ",Transposon, NT_3.1,#transposon,,
JN801071.1 ,817," Bacteroides fragilis strain 334984 insertion sequence ISBf12transposase gene, complete cds. ",Transposon, NT_3.1,#transposon,,
JQ995537.1,817,This record was removed because the sequence was not directly determined by the submitter,, NT_3.1,#removed,,
KJ816753.1 ,817," Bacteroides fragilis strain HMW 615 transposon CTnHyb, completesequence. ",Transposon, NT_3.1,#transposon,,
KJ830768,817," Bacteroides fragilis strain 69566 plasmid pBF69566b, complete sequence",, NT_3.1,#Plasmid #Antibiotic Resistant #Top level Tax,hk,1/12/17
M37699,817," Transposon Tn4351 tetracycline resistance protein (tetX) gene, complete cds",, NT_3.1,#Transposon #Antibiotic resistance #top level Tax,hk,1/16/17
M60018.1 ,817," Bacteroides fragilis insertion sequence element IS942 with openreading frame, complete cds. ",Transposon, NT_3.1,#transposon,,
M77806.1 ,817," Bacteroides fragilis conjugal transfer (of antibiotic-resistancefactors) protein (btgA and btgB) genes, complete cds. ",Transposon, NT_3.1,#transposon,,
NG_034522.1 ,817, Bacteroides fragilis Transposon Tn4551 clindamycin resistancedeterminant (ermFS) and direct repeat sequence (DRS4551-R). ,, NT_3.1,#transposon,,
NG_034706.1 ,817," Bacteroides fragilis mobilization protein MbpA (mbpA), MbpB (mbpB)and MbpC (mbpC) genes, complete cds. ",, NT_3.1,#transposon,,
U30316.1 ,817," Bacteroides fragilis strain IB143 plasmid pBI143, completesequence. ",, NT_3.1,#plasmid,,
U63096,817," Bacteroides fragilis (bctA) gene, complete cds",, NT_3.1,#Partial Sequence #Top Level Taz ,hk,1/15/17
U75371.3 ,817," Bacteroides fragilis transposon Tn4555 TnpA (tnpA), integrase(int), TnpC (tnpC), excisionase (xis), mobilization protein (mobA), and beta-lactamase (cfxA) genes, complete cds; and unknown genes. ",Transposon, NT_3.1,#transposon,,
X76949.1 ,817, B.fragilis nimD gene and IS-1169.,#plasmid, NT_3.1,#partial,,
Y18979,817, Bacteroides fragilis insertion sequence IS1187,, NT_3.1,#Insirtion sequence #Top level Tax ,hk,1/11/17
AF289050,818," Bacteroides thetaiotaomicron conjugative transposon CTnDOT, transfer region",, NT_3.1,#Transposon #top level Tax ,hk,1/9/17
AJ311171,818, Bacteroides thetaiotaomicron transposon CTnDOT ermF region,, NT_3.1,#Transposon #top level Tax ,hk,1/8/17
AJ431573,818," Bacteroides thetaiotaomicron transposon CTnDOT, xis2c, xis2d, exc and rteR genes, ORF2A, ORF2B, ORF3, ORF2E and ORF4A",, NT_3.1,#Transposon #top level Tax ,hk,1/10/17
AF238307,820," Bacteroides uniformis insertion sequence NBU1, complete sequence",, NT_3.1,#Transposon #top level Tax ,hk,1/19/17
AY345595,820," Bacteroides uniformis strain WH207 transposon CTnBST, complete sequence",, NT_3.1,#Transposon #top level Tax ,hk,1/17/17
EU818711.2,820,Bacteroides uniformis,"Bacteroides uniformis strain BUN24 plasmid pBUN24, complete sequence", NT_3.1,#Plasmid #Top level Tax ,,
KF110994,820," Bacteroides uniformis strain ZL1 putative beta-glucosidase Bgl2 (bgl2) gene, complete cds",, NT_3.1,#Transposon #top level Tax ,hk,1/18/17
KF111001,820," Bacteroides uniformis strain ZL1 putative beta-glucosidase Bgl9 (bgl9) gene, complete cds",, NT_3.1,#Transposon #top level Tax ,hk,1/21/17
L08472,820," Bacteroides uniformis ORF2, partial cds and beta-lactamase (cblA) gene, complete cds",, NT_3.1,#Transposon #top level Tax ,hk,1/20/17
NG_034588.1,821,B.vulgatus plasmid pIP417 IS1168 insertion sequence and nimA gene for 5-Nitroimidazole antibiotic resistance protein,This record was removed by RefSeq staff., NT_3.1,#removed,hk,1/3/17
NG_036111.1,1018,"Capnocytophaga ochracea plasmid pCAP01 MobA (mobA), CfxA3 (cfxA3), transposase-like protein, RepA (repA), relaxase-like protein, and mob-like protein genes, complete cds",This record was removed by RefSeq staff., NT_3.1,#removed,hk,1/3/17
BK008009.1 ,1496,Clostridium difficile strain QCD-66C26,Unresolved E.coli, NT_3.1,#unresolved_tax,,
LM047136.1,6265," Toxocara canis genome assembly T_canis_Equador, scaffoldTCNE_contig0003098. ", bacterial contamination of contig , NT_3.1,#contamination,,
AJ557257,28116, Bacteroides ovatus partial transposon CTnGERM1,, NT_3.1,#Transposon #top level Tax ,hk,2/1/17
FJ410383,28116," Bacteroides ovatus ATCC:8483 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",, NT_3.1,#16s #Top Level Tax ,hk,2/2/17
AJ319661,29523, Bacteroides sp,, NT_3.1,#Transposon  ,hk,1/22/17
NG_034698.1,29523,Bacteroides sp. plasmid pIP417 replicon,This record was removed by RefSeq staff., NT_3.1,#removed,hk,1/3/17
LM523540.1,131310,Parastrongyloides trichosuri_, bacterial contamination of contig , NT_3.1,#contamination,,
DQ093580,216816," Bifidobacterium longum strain B200304 plasmid pBIF10 Rep (rep), TetQ (tetQ), Tra (tra), MobA (mobA), and MobB (mobB) genes, complete cds",, NT_3.1,#Plasmid #Top level Tax ,hk,1/23/17
LM583481,6290,"Haemonchus placei genome assembly H_placei_MHpl1, scaffold HPLM_scaffold0000426",, NT_3.1,#Scaffold,,
FJ872410,1351,"Enterococcus faecalis strain N03-0233 VanG2 mobile element, complete sequence",, NT_3.1,#mobileelement,,
LL627866,60516,"Diphyllobothrium latum genome assembly D_latum_Geneva, scaffold DILT_scaffold0053171",, NT_3.1,#Scaffold,,
LK931720,403776,"Sphingobacterium sp. PM2-P1-29 genome assembly Sequencing method, scaffold BN1088_Contig_143",, NT_3.1,#Scaffold,,
LN590686,7962,"Cyprinus carpio genome assembly common carp genome, scaffold: LG35, chromosome: 35",, NT_3.1,#scaffold,,
LN592354,7962,"Cyprinus carpio genome assembly common carp genome, scaffold 000008356",, NT_3.1,#scaffold,,
LN590717,7962,"Cyprinus carpio genome assembly common carp genome, scaffold: LG12, chromosome: 12",, NT_3.1,#scaffold,,
LN592971,7962,"Cyprinus carpio genome assembly common carp genome, scaffold 000001951",, NT_3.1,#scaffold,,
LL194098,6339,"Heligmosomoides polygyrus genome assembly H_bakeri_Edinburgh, scaffold HPBE_scaffold0005644",, NT_3.1,#Scaffold,,
LL195297,6339,"Heligmosomoides polygyrus genome assembly H_bakeri_Edinburgh, scaffold HPBE_scaffold0006781",, NT_3.1,#Scaffold,,
LM529123,174720,"Strongyloides papillosus genome assembly S_papillosus_LIN, scaffold SPAL_contig0003434",, NT_3.1,#Scaffold,,
FP929055,657313,"Angiostrongylus cantonensis genome assembly A_cantonensis_China, scaffold ACAC_scaffold0003217",, NT_3.1,#Scaffold,,
EU334491,28116,"Bacteroides ovatus xylanase operon, promoter region and complete sequence",, NT_3.1,#Operon,,
Z21523,817,B.fragilis tetA(Q)2 gene,, NT_3.1,#partial,,
HG670306,4565,"Triticum aestivum chromosome 3B, genomic scaffold, cultivar Chinese Spring",, NT_3.1,#Scaffold,,
AY345595.2,820,"Bacteroides uniformis strain WH207 transposon CTnBST, complete sequence",, NT_3.1,#transposon,,
LK951172,6313,"Angiostrongylus cantonensis genome assembly A_cantonensis_China, scaffold ACAC_scaffold0003217",, NT_3.1,#Scaffold,HK,2/15/17
AB042560,817,"Bacteroides fragilis insertion sequence element IS616 gene for hypothetical protein, complete cds",, NT_3.1,#Insirtion sequence #Top level Tax ,HK,3/21/17
KF830695,820,"Bacteroides uniformis strain L8 16S ribosomal RNA gene, partial sequence",, NT_3.1,#partial,HK,3/23/17
KM043746,1541420,"Bacterium P2H3 16S ribosomal RNA gene, partial sequence",,,#partial,HK,3/23/17
AY691294,40518,"Ruminococcus bromii strain ATCC 27255 60 kDa chaperonin (cpn60) gene, partial cds",,,#partial ,HK,3/23/17
NR_116747,1298596,"Ruminococcus faecis strain Eg2 16S ribosomal RNA gene, partial sequence",,,#partial,HK,3/23/17
EU728712,537293,"Prevotella sp. DJF_B112 16S ribosomal RNA gene, partial sequence",,,#partial #RNA,HK,3/23/17
FM178797,1313,Streptococcus pneumoniae Tn5252 like transposon,,,#Transposon #top level Tax ,HK,3/23/17
AB238929,46503,"Parabacteroides merdae gene for 16S ribosomal RNA, partial sequence, strain: JCM 13405",,,#partial #RNA,HK,3/23/17
X58717,818,B.thetaiotaomicron tetQ gene for TetQ protein,,,#Top Level Tax #single gene,HK,3/23/17
NR_076197,818,"Bacteroides thetaiotaomicron strain VPI-5482 23S ribosomal RNA gene, complete sequence",,,#ribosomal gene #Top Level Tax,HK,3/23/17
JX006278,1201596,"Bacterium NLAE-zl-H28 16S ribosomal RNA gene, partial sequence",,,#ribosomal gene #partial #unclassified,HK,3/23/17
JX006628,1201746,"Bacterium NLAE-zl-H416 16S ribosomal RNA gene, partial sequence",,,#ribosomal gene #partial #unclassified,HK,3/23/17
KF111003,820,"Bacteroides uniformis strain ZL1 putative beta-glucosidase Bgl11 (bgl11) gene, complete cds",,,#Top Level Tax #single gene,HK,3/23/17
NR_041667,487175,"Parasutterella excrementihominis strain YIT 11859 16S ribosomal RNA gene, partial sequence",,,#partial #ribosomal,HK,3/23/17
JX424618,1231727,Prevotella sp. Sc00026 clone contig00026c genomic sequence,,,#contig,HK,3/23/17
NR_103126,839,"Prevotella ruminicola strain Bryant 23 23S ribosomal RNA gene, complete sequence",,,#Top Level Tax #RNA,HK,3/23/17
CP003667,575614,"Prevotella sp. oral taxon 299 str. F0039 plasmid, complete sequence",,,#plasmid #noGenome #questionable,HK,3/23/17
CP007453,1286171,"Eubacterium acidaminophilum DSM 3953 plasmid EAL2_808p, complete sequence",,,#plasmid #noGenome #questionable,HK,3/23/17
EU728752,537419,"Prevotellaceae bacterium DJF_RP17 16S ribosomal RNA gene, partial sequence",,,#partial #ribosomal,HK,3/23/17
JX424617,1231727,Prevotella sp. Sc00026 clone contig00026b genomic sequence,,,#partial #contig,HK,3/23/17
NR_113411,537011,"Prevotella copri strain JCM 13464 16S ribosomal RNA gene, partial sequence",,,#partial #ribosomal,HK,3/23/17
AB714298,357276,"Bacteroides dorei gene for 16S rRNA, partial sequence, strain: baku-29",,,#partial #ribosomal #Top Level,HK,3/23/17
DQ144130,340484,"Butyrate-producing bacterium PH07BY04 16S ribosomal RNA gene, partial sequence",,,#partial #ribosomal #unclassified,HK,3/23/17
DQ163906,821,"Bacteroides vulgatus small heat shock protein 10 kDa (hsp10) and chaperonin GroEL (hsp60) genes, complete cds",,,#Top Level Tax #single gene,HK,3/23/17
EU136684,449673,"Bacteroides stercoris ATCC 43183 16S ribosomal RNA gene, partial sequence",,,#partial #ribosomal,HK,3/23/17
AY682394,817,"Bacteroides fragilis insertion sequence IS614B transposase gene, complete cds",,,#Transposon #top level Tax ,HK,3/23/17
AF038866,817,"Bacteroides fragilis transposon Tn5520 transposase (bipH) and mobilization protein BmpH (bmpH) genes, complete cds",,,#Transposon #top level Tax ,HK,3/23/17
LN554920,562,"Escherichia coli genome assembly FHI62, scaffold scaffold-20_contig-3.2_266514_545994_[organism:Escherichia",,,#Scaffold #Partial Genome #Top Level Tax #unresolved_tax,HK,3/23/17
AM905424,239935,"Akkermansia muciniphila 23S rRNA gene, strain CIP107961.",,,#partial #ribosomal,HK,3/23/17
EU728710,537274,"Bacteroides sp. DJF_B097 16S ribosomal RNA gene, partial sequence",,,#partial #ribosomal,HK,3/23/17
NR_076809,290053,"Bacteroides helcogenes strain P 36-108 23S ribosomal RNA gene, complete sequence",,,#ribosomal gene #Top Level Tax,HK,3/24/17
NR_076999,817,"Bacteroides fragilis strain ATCC 25285 23S ribosomal RNA gene, complete sequence",,,#ribosomal gene #Top Level Tax,HK,3/24/17
NR_103124,28132,"Prevotella melaninogenica strain Finegold B282 23S ribosomal RNA gene, complete sequence",,,#Scaffold #Partial Genome #Top Level Tax #unresolved_tax,HK,3/24/17
JQ607428,1146432,"Bacterium NLAE-zl-P561 16S ribosomal RNA gene, partial sequence",,,#ribosomal gene #Top Level Tax,HK,3/24/17
KF110997,820,"Bacteroides uniformis strain ZL1 putative beta-glucosidase Bgl5 (bgl5) gene, complete cds",,,#ribosomal gene #Top Level Tax,HK,3/24/17
LK931720,403776,"Sphingobacterium sp. PM2-P1-29 genome assembly Sequencing method, scaffold BN1088_Contig_143",,,#Scaffold #Partial Genome #Top Level Tax,HK,3/24/17
CP002030,757425,"Campylobacter jejuni subsp. jejuni ICDCCJ07001 plasmid pTet, complete sequence",,,#plasmid #noGenome #questionable,HK,3/24/17
CP007180,1183380,"Campylobacter coli RM5611 plasmid pRM5611_48kb, complete sequence",,,#plasmid #noGenome #questionable,HK,3/24/17
AF238307,820,Bacteroides uniformis insertion sequence NBU1,,,#insertion sequestion,HD,4/1/17
NR_121916,384638,[Bacteroides] pectinophilus strain N3 23S ribosomal RNA gene,,,#ribosomal gene,HD,4/1/17
NR_103126,839,"Prevotella ruminicola strain Bryant 23 23S ribosomal RNA gene, complete sequence",,,#ribosomal gene,HD,4/1/17
CP007180,1183380,"Campylobacter coli RM5611 plasmid pRM5611_48kb, complete sequence",,,#plasmid  #Top Level Tax,HK,4/16/17
